chain_requested,name,brand,operator,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
Kiwi,Kiwi Frekhaug,Kiwi,,,,,,Norway,"60.51755,5.239735",coordinates_only,60.51755,5.239735,node,21641553,OpenStreetMap via Overpass API
Kiwi,Kiwi Rosseland,Kiwi,,,,,,Norway,"58.734589,5.665553",coordinates_only,58.734589,5.665553,node,26198200,OpenStreetMap via Overpass API
Kiwi,Kiwi Son,Kiwi,,,,,,Norway,"59.525981,10.689079",coordinates_only,59.525981,10.689079,node,213387069,OpenStreetMap via Overpass API
Kiwi,Kiwi Tigerplassen,Kiwi,,,,,,Norway,"59.4469049,10.6856855",coordinates_only,59.4469049,10.6856855,node,215091726,OpenStreetMap via Overpass API
Kiwi,Kiwi Moholt,Kiwi,,,,,,Norway,"63.4103851,10.4414846",coordinates_only,63.4103851,10.4414846,node,220636585,OpenStreetMap via Overpass API
Kiwi,Kiwi Høyden,Kiwi,,,,,,Norway,"59.4193276,10.6830257",coordinates_only,59.4193276,10.6830257,node,225589553,OpenStreetMap via Overpass API
Kiwi,Kiwi Kringsjå,Kiwi,,,,,,Norway,"59.9639604,10.7330634",coordinates_only,59.9639604,10.7330634,node,243528356,OpenStreetMap via Overpass API
Kiwi,Kiwi Dombås,Kiwi,,,,,,Norway,"62.07443,9.127469",coordinates_only,62.07443,9.127469,node,247931924,OpenStreetMap via Overpass API
Kiwi,Kiwi Støren,Kiwi,,,,,,Norway,"63.035632,10.292756",coordinates_only,63.035632,10.292756,node,249229561,OpenStreetMap via Overpass API
Kiwi,Kiwi Godvik,Kiwi,,,,,,Norway,"60.370839,5.191805",coordinates_only,60.370839,5.191805,node,258171007,OpenStreetMap via Overpass API
Kiwi,Kiwi Hetlevikåsen,Kiwi,,,,,,Norway,"60.35049,5.227692",coordinates_only,60.35049,5.227692,node,258417885,OpenStreetMap via Overpass API
Kiwi,Kiwi Lambertseter,Kiwi,,,,,,Norway,"59.870045,10.819918",coordinates_only,59.870045,10.819918,node,261124640,OpenStreetMap via Overpass API
Kiwi,Kiwi Finstad,Kiwi,,,,,,Norway,"59.717372,10.816058",coordinates_only,59.717372,10.816058,node,264121919,OpenStreetMap via Overpass API
Kiwi,Kiwi Karlsrud,Kiwi,,,,,,Norway,"59.8800582,10.8040994",coordinates_only,59.8800582,10.8040994,node,264768990,OpenStreetMap via Overpass API
