chain_requested,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.0898894,17.5651055",coordinates_only,59.0898894,17.5651055,node,250885854,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Drottningtorget,,,,Sweden,Drottningtorget Sweden,usable,57.7080771,11.9733161,node,283256123,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.357297,18.102717",coordinates_only,59.357297,18.102717,node,377701254,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.1227977,18.1046406",coordinates_only,59.1227977,18.1046406,node,417750506,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"55.6093053,13.0000798",coordinates_only,55.6093053,13.0000798,node,430003688,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"55.6030444,13.0006311",coordinates_only,55.6030444,13.0006311,node,444853611,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3421298,18.0567492",coordinates_only,59.3421298,18.0567492,node,469802362,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"63.1706914,14.6374492",coordinates_only,63.1706914,14.6374492,node,470642125,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.4791483,18.2997857",coordinates_only,59.4791483,18.2997857,node,472644584,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Johannes Magnus väg,13,58330,Linköping,Sweden,Johannes Magnus väg 13 58330 Linköping Sweden,strict,58.3964622,15.5780302,node,473124218,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3328907,18.0640739",coordinates_only,59.3328907,18.0640739,node,479369230,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.2850753,18.0930879",coordinates_only,59.2850753,18.0930879,node,489325036,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"56.2070194,15.283045",coordinates_only,56.2070194,15.283045,node,573105377,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"57.7971564,12.0498825",coordinates_only,57.7971564,12.0498825,node,629450183,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.332303,18.0294482",coordinates_only,59.332303,18.0294482,node,631753542,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.2982356,17.9968142",coordinates_only,59.2982356,17.9968142,node,636035469,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"56.0465252,12.6947146",coordinates_only,56.0465252,12.6947146,node,656642136,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"57.796469,12.0504378",coordinates_only,57.796469,12.0504378,node,667391022,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Grocery / convenience,convenience,,,,,,,,Sweden,"57.7844647,14.1625563",coordinates_only,57.7844647,14.1625563,node,699755908,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3328145,18.0030249",coordinates_only,59.3328145,18.0030249,node,706164036,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.2989635,18.0803227",coordinates_only,59.2989635,18.0803227,node,712600413,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Farsta Torg,2,,,Sweden,Farsta Torg 2 Sweden,usable,59.2432708,18.0933985,node,712656329,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.338445,18.0105086",coordinates_only,59.338445,18.0105086,node,730950917,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.6280293,17.861045",coordinates_only,59.6280293,17.861045,node,739839328,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.7591222,18.6995104",coordinates_only,59.7591222,18.6995104,node,843680637,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"55.7052593,13.1872617",coordinates_only,55.7052593,13.1872617,node,845115548,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.2857684,17.964855",coordinates_only,59.2857684,17.964855,node,872588216,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"58.6988703,12.4560244",coordinates_only,58.6988703,12.4560244,node,894146594,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,Esplanaden,2,852 32,Sundsvall,Sweden,Esplanaden 2 852 32 Sundsvall Sweden,strict,62.3917357,17.3084795,node,922505258,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.352415,18.032936",coordinates_only,59.352415,18.032936,node,938601605,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"56.6742801,12.8569209",coordinates_only,56.6742801,12.8569209,node,1072629586,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"55.7054422,13.1859368",coordinates_only,55.7054422,13.1859368,node,1129627329,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Repslagaregatan,5a,,Norrköping,Sweden,Repslagaregatan 5a Norrköping Sweden,usable,58.5887226,16.1881514,node,1131337464,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3103172,18.0217067",coordinates_only,59.3103172,18.0217067,node,1161921290,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Norra Promenaden,94,,Norrköping,Sweden,Norra Promenaden 94 Norrköping Sweden,usable,58.596397,16.184261,node,1177971710,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"55.6044684,13.0010217",coordinates_only,55.6044684,13.0010217,node,1181418030,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,1,417 05,Göteborg,Sweden,1 417 05 Göteborg Sweden,usable,57.72088,11.953691,node,1184106547,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Kungsgatan,14,,Karlstad,Sweden,Kungsgatan 14 Karlstad Sweden,usable,59.3812819,13.5032713,node,1201335759,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Stieg Trenters torg,1,,,Sweden,Stieg Trenters torg 1 Sweden,usable,59.2352735,18.1017947,node,1203647952,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.1924786,17.626716",coordinates_only,59.1924786,17.626716,node,1205499057,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"58.3895842,13.8519627",coordinates_only,58.3895842,13.8519627,node,1209368655,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3096112,18.0280249",coordinates_only,59.3096112,18.0280249,node,1245606532,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3079708,18.0760938",coordinates_only,59.3079708,18.0760938,node,1258634395,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"57.7164124,12.0049223",coordinates_only,57.7164124,12.0049223,node,1275935023,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.309767,18.0752151",coordinates_only,59.309767,18.0752151,node,1348515169,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"63.2912106,18.7148783",coordinates_only,63.2912106,18.7148783,node,1376616301,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,Klarabergsgatan,29,11121,Stockholm,Sweden,Klarabergsgatan 29 11121 Stockholm Sweden,strict,59.3319221,18.062161,node,1410371953,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"57.7199094,12.9324238",coordinates_only,57.7199094,12.9324238,node,1420050782,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"55.7114747,13.1988032",coordinates_only,55.7114747,13.1988032,node,1440891775,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3606839,17.9709331",coordinates_only,59.3606839,17.9709331,node,1445495720,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"56.0444451,12.6943334",coordinates_only,56.0444451,12.6943334,node,1492519544,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"56.0442207,12.6939465",coordinates_only,56.0442207,12.6939465,node,1492519604,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"56.0437344,12.6946428",coordinates_only,56.0437344,12.6946428,node,1501505869,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Korsvägen,,,Göteborg,Sweden,Korsvägen Göteborg Sweden,usable,57.6966456,11.9869978,node,1691318998,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Arenagatan,15,215 32,,Sweden,Arenagatan 15 215 32 Sweden,usable,55.5628562,12.9763831,node,1692398183,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"58.5363926,15.0384674",coordinates_only,58.5363926,15.0384674,node,1714914227,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"55.5887411,13.0062509",coordinates_only,55.5887411,13.0062509,node,1726889278,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.2995801,18.0303351",coordinates_only,59.2995801,18.0303351,node,1736347459,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Blå stråket,1,,Göteborg,Sweden,Blå stråket 1 Göteborg Sweden,usable,57.6833363,11.9607173,node,1775890110,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3256548,18.0689668",coordinates_only,59.3256548,18.0689668,node,1779515445,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Österlånggatan,52,503 37,Borås,Sweden,Österlånggatan 52 503 37 Borås Sweden,strict,57.7195552,12.9418808,node,1780247476,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"55.4277312,13.823829",coordinates_only,55.4277312,13.823829,node,1829900429,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3478308,18.0037809",coordinates_only,59.3478308,18.0037809,node,1831920374,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,Kungshamn,Sweden,Kungshamn Sweden,usable,58.3613545,11.2490769,node,1842673623,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"57.7205634,12.9320615",coordinates_only,57.7205634,12.9320615,node,1871483894,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.334882,18.0602644",coordinates_only,59.334882,18.0602644,node,2138126281,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"57.70671,11.970542",coordinates_only,57.70671,11.970542,node,2139221293,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"57.7087424,11.9742897",coordinates_only,57.7087424,11.9742897,node,2145371675,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3652343,18.0547477",coordinates_only,59.3652343,18.0547477,node,2162407820,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Kungsgatan,,,,Sweden,Kungsgatan Sweden,usable,59.8581622,17.644258,node,2203267388,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3358585,18.0681337",coordinates_only,59.3358585,18.0681337,node,2245349372,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Eketrägatan,26,41873,Göteborg,Sweden,Eketrägatan 26 41873 Göteborg Sweden,strict,57.716035,11.910144,node,2287945101,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.2948905,17.9341717",coordinates_only,59.2948905,17.9341717,node,2288368253,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3266426,18.391562",coordinates_only,59.3266426,18.391562,node,2290922432,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"57.669287,12.295622",coordinates_only,57.669287,12.295622,node,2302234441,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Storgatan,67,972 31,Luleå,Sweden,Storgatan 67 972 31 Luleå Sweden,strict,65.5853003,22.1608662,node,2317076734,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"57.708501,11.9732387",coordinates_only,57.708501,11.9732387,node,2352733322,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"57.7090635,11.9732083",coordinates_only,57.7090635,11.9732083,node,2352733323,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.2786929,15.2117789",coordinates_only,59.2786929,15.2117789,node,2360919603,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"58.3912345,13.8461436",coordinates_only,58.3912345,13.8461436,node,2410701689,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"58.3228373,15.1324329",coordinates_only,58.3228373,15.1324329,node,2416266728,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"57.7098214,11.972611",coordinates_only,57.7098214,11.972611,node,2466676072,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,Drottninggatan,1,,Uppsala,Sweden,Drottninggatan 1 Uppsala Sweden,usable,59.8584334,17.6384016,node,2483690477,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"55.589707,13.0014979",coordinates_only,55.589707,13.0014979,node,2529781628,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,Högdalsgången,10,124 54,Bandhagen,Sweden,Högdalsgången 10 124 54 Bandhagen Sweden,strict,59.2633929,18.042822,node,2560497499,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.333083,17.980232",coordinates_only,59.333083,17.980232,node,2571793111,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3383242,17.93887",coordinates_only,59.3383242,17.93887,node,2571793112,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,Bangårdsgatan,,57432,Vetlanda,Sweden,Bangårdsgatan 57432 Vetlanda Sweden,usable,57.426017,15.0823014,node,2576340315,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3631301,17.8722161",coordinates_only,59.3631301,17.8722161,node,2601421804,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.2579019,18.0823491",coordinates_only,59.2579019,18.0823491,node,2608542293,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3587214,17.9990603",coordinates_only,59.3587214,17.9990603,node,2612397566,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,784 34,Borlänge,Sweden,784 34 Borlänge Sweden,usable,60.4830011,15.426668,node,2619011221,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,Pressbyrån,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3304397,18.0566716",coordinates_only,59.3304397,18.0566716,node,2633884892,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.3984911,18.0359979",coordinates_only,59.3984911,18.0359979,node,2714879821,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.2785747,18.0108598",coordinates_only,59.2785747,18.0108598,node,2741617921,OpenStreetMap via Overpass API
Pressbyrån,Pressbyrån,Pressbyrån,,Retail: kiosk,kiosk,,,,,,,,Sweden,"59.8580942,17.6465056",coordinates_only,59.8580942,17.6465056,node,2775883292,OpenStreetMap via Overpass API
