chain_requested,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
Max,Max,Max,Max,Food & restaurants,,fast_food,,,,,,,Sweden,"65.81734,21.707994",coordinates_only,65.81734,21.707994,node,246008294,OpenStreetMap via Overpass API
Max,Max,Max,MAX Sverige AB,Food & restaurants,,fast_food,,,Ålgårdsvägen,16,50630,Borås,Sweden,Ålgårdsvägen 16 50630 Borås Sweden,strict,57.7338199,12.9342805,node,246008297,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,Norra Kungsgatan,45,80323,Gävle,Sweden,Norra Kungsgatan 45 80323 Gävle Sweden,strict,60.6807851,17.1369103,node,246008299,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,Norra Esplanaden,8,95331,,Sweden,Norra Esplanaden 8 95331 Sweden,usable,65.8410091,24.1334005,node,246008301,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,Södergatan,15,252 25,Helsingborg,Sweden,Södergatan 15 252 25 Helsingborg Sweden,strict,56.0406592,12.7021203,node,246008304,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,,,,,Sweden,"59.3790578,13.4240645",coordinates_only,59.3790578,13.4240645,node,246008311,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,Norra Svedengatan,11A,582 73,Linköping,Sweden,Norra Svedengatan 11A 582 73 Linköping Sweden,strict,58.4347928,15.5935371,node,246008313,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,Storhedsvägen,1C,97345,Luleå,Sweden,Storhedsvägen 1C 97345 Luleå Sweden,strict,65.6181152,22.0415207,node,246008318,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,,,,,Sweden,"57.7374972,12.105371",coordinates_only,57.7374972,12.105371,node,246008324,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,,,,,Sweden,"59.3327363,18.0718982",coordinates_only,59.3327363,18.0718982,node,246008327,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,,,,,Sweden,"59.3021163,18.1034556",coordinates_only,59.3021163,18.1034556,node,246008329,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,Huvudstagatan,2-4,,Solna,Sweden,Huvudstagatan 2-4 Solna Sweden,usable,59.3603033,17.9943808,node,246008330,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,,,,,Sweden,"59.3323106,18.0573765",coordinates_only,59.3323106,18.0573765,node,246008332,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,Landsvägsallén,5,852 38,,Sweden,Landsvägsallén 5 852 38 Sweden,usable,62.3869923,17.3195289,node,246008334,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,Kungsgatan,30,46130,Trollhättan,Sweden,Kungsgatan 30 46130 Trollhättan Sweden,strict,58.2853099,12.291363,node,246008336,OpenStreetMap via Overpass API
Max,Max,Max,Max,Food & restaurants,,fast_food,,,Västra esplanaden,20,,Umeå,Sweden,Västra esplanaden 20 Umeå Sweden,usable,63.82979,20.25942,node,246008338,OpenStreetMap via Overpass API
