chain_requested,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
sibylla,Sibylla,Sibylla,Sibylla,Food & restaurants,,fast_food,,,,,771 33,Ludvika,Sweden,771 33 Ludvika Sweden,usable,60.1434221,15.1800521,node,148691749,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,Sibylla,Food & restaurants,,fast_food,,,,,,,Sweden,"60.6646802,17.1531659",coordinates_only,60.6646802,17.1531659,node,218696051,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,Sibylla,Food & restaurants,,fast_food,,,Järnvägstorget,2,90328,Umeå,Sweden,Järnvägstorget 2 90328 Umeå Sweden,strict,63.8301021,20.2648685,node,295220038,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,,,,,Sweden,"56.1387301,13.1162432",coordinates_only,56.1387301,13.1162432,node,403553439,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,Sibylla,Food & restaurants,,fast_food,,,,,,,Sweden,"59.8717079,17.6019133",coordinates_only,59.8717079,17.6019133,node,412516108,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,,,,,Sweden,"59.1784559,18.1432301",coordinates_only,59.1784559,18.1432301,node,417751263,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,,,,,Sweden,"60.2585964,18.369678",coordinates_only,60.2585964,18.369678,node,444870213,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,Sibylla,Food & restaurants,,fast_food,,,,,,,Sweden,"60.6749675,17.1405514",coordinates_only,60.6749675,17.1405514,node,457267419,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,,,,,Sweden,"60.1502882,15.207093",coordinates_only,60.1502882,15.207093,node,473136940,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,Köpmantorget,1,826 30,Söderhamn,Sweden,Köpmantorget 1 826 30 Söderhamn Sweden,strict,61.3029456,17.0600432,node,544328333,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,Datavägen,1,,Järfälla,Sweden,Datavägen 1 Järfälla Sweden,usable,59.4146324,17.8258361,node,682239801,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,,,,,Sweden,"63.2962236,18.72046",coordinates_only,63.2962236,18.72046,node,695590096,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,,,,,Sweden,"59.3394008,18.0376998",coordinates_only,59.3394008,18.0376998,node,708031994,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,Nätragatan,31,,,Sweden,Nätragatan 31 Sweden,usable,63.2015006,18.502492,node,731995714,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,,,,,Sweden,"57.9179271,12.517255",coordinates_only,57.9179271,12.517255,node,761586198,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,Vendevägen,8,,Djursholm,Sweden,Vendevägen 8 Djursholm Sweden,usable,59.3975337,18.0903907,node,918519987,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,Sibylla,Food & restaurants,,fast_food,,,,,,,Sweden,"59.3889239,13.5152298",coordinates_only,59.3889239,13.5152298,node,954764806,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,Stationsgatan,,692 35,,Sweden,Stationsgatan 692 35 Sweden,usable,59.126774,15.1393883,node,989931681,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,,,,,Sweden,"62.3958729,17.2528773",coordinates_only,62.3958729,17.2528773,node,1055530663,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,Bergsgatan,29,852 36,,Sweden,Bergsgatan 29 852 36 Sweden,usable,62.386276,17.3017953,node,1058748545,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,Sibylla,Food & restaurants,,fast_food,,,Lindövägen,60,,Norrköping,Sweden,Lindövägen 60 Norrköping Sweden,usable,58.5903928,16.2161637,node,1118667764,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,Sibylla,Food & restaurants,,fast_food,,,Bryggargatan,10,686 30,Sunne,Sweden,Bryggargatan 10 686 30 Sunne Sweden,strict,59.8379102,13.1436717,node,1181554179,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,,,,,Sweden,"62.4019986,17.3280344",coordinates_only,62.4019986,17.3280344,node,1229815528,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,,,,,Sweden,"59.2361918,17.8354468",coordinates_only,59.2361918,17.8354468,node,1242636552,OpenStreetMap via Overpass API
sibylla,Sibylla,Sibylla,,Food & restaurants,,fast_food,,,,,,,Sweden,"60.7299407,14.9982448",coordinates_only,60.7299407,14.9982448,node,1295802441,OpenStreetMap via Overpass API
