chain_requested,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
SATS,SATS,Sats,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"57.6983644,11.9418688",coordinates_only,57.6983644,11.9418688,node,367839515,OpenStreetMap via Overpass API
SATS,SATS Väsby,Sats,,Fitness / sports,,,,fitness_centre,Kanalvägen,1B,194 61,Upplands Väsby,Sweden,Kanalvägen 1B 194 61 Upplands Väsby Sweden,strict,59.4970213,17.925344,node,429235090,OpenStreetMap via Overpass API
SATS,SATS,Sats,,Fitness / sports,,,,fitness_centre,Dialoggatan,3,,,Sweden,Dialoggatan 3 Sweden,usable,59.2996578,17.9921427,node,759976759,OpenStreetMap via Overpass API
SATS,SATS Haninge,Sats,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"59.1755049,18.1429637",coordinates_only,59.1755049,18.1429637,node,774764278,OpenStreetMap via Overpass API
SATS,SATS Gärdet,Sats,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"59.3420874,18.1130337",coordinates_only,59.3420874,18.1130337,node,1098420757,OpenStreetMap via Overpass API
SATS,SATS Fridhemsplan,Sats,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"59.3335304,18.032319",coordinates_only,59.3335304,18.032319,node,1106067775,OpenStreetMap via Overpass API
SATS,SATS Zenit (Mäster Samuelsgatan),Sats,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"59.3324664,18.0604223",coordinates_only,59.3324664,18.0604223,node,1106752208,OpenStreetMap via Overpass API
SATS,SATS Hornstull,Sats,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"59.3158394,18.0320556",coordinates_only,59.3158394,18.0320556,node,1116959214,OpenStreetMap via Overpass API
SATS,SATS Tule,Sats,SATS,Fitness / sports,,,,fitness_centre,,,,,Sweden,"59.3463847,18.057837",coordinates_only,59.3463847,18.057837,node,1170179637,OpenStreetMap via Overpass API
SATS,Sats,Sats,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"59.3091841,18.0284825",coordinates_only,59.3091841,18.0284825,node,1249794632,OpenStreetMap via Overpass API
