chain_requested,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
Carrefour,Carrefour,Carrefour,,Grocery / convenience,supermarket,,,,,,,,France,"45.7600968,4.8557139",coordinates_only,45.7600968,4.8557139,node,26647027,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,,Grocery / convenience,supermarket,,,,Avenue de la Marne,95,56000,Vannes,France,Avenue de la Marne 95 56000 Vannes France,strict,47.6586202,-2.7919534,node,30079355,OpenStreetMap via Overpass API
Carrefour,Carrefour Market,Carrefour Market,Carrefour,Grocery / convenience,supermarket,,,,Avenue du Général de Gaulle,1,56400,Auray,France,Avenue du Général de Gaulle 1 56400 Auray France,strict,47.6708019,-2.9912364,node,109826360,OpenStreetMap via Overpass API
Carrefour,Carrefour Market,Carrefour Market,Carrefour,Grocery / convenience,supermarket,,,,,,,,France,"47.8462626,-3.6878624",coordinates_only,47.8462626,-3.6878624,node,122582405,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,Carrefour,Grocery / convenience,supermarket,,,,,,,,France,"47.2819847,5.9945471",coordinates_only,47.2819847,5.9945471,node,171126367,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,Carrefour,Grocery / convenience,supermarket,,,,,,,,France,"45.7882398,4.7748329",coordinates_only,45.7882398,4.7748329,node,183563563,OpenStreetMap via Overpass API
Carrefour,Carrefour Market,Carrefour Market,Carrefour,Grocery / convenience,supermarket,,,,,,,,France,"46.2492934,5.6460525",coordinates_only,46.2492934,5.6460525,node,245919723,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,,Grocery / convenience,supermarket,,,,,,50100,Cherbourg-Octeville,France,50100 Cherbourg-Octeville France,usable,49.6344775,-1.6190668,node,246661470,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,Carrefour,Grocery / convenience,supermarket,,,,,,21800,Quetigny,France,21800 Quetigny France,usable,47.3095186,5.1044795,node,258910969,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,Carrefour,Grocery / convenience,supermarket,,,,,,,,France,"47.983285,-4.1073102",coordinates_only,47.983285,-4.1073102,node,266147533,OpenStreetMap via Overpass API
Carrefour,Express Carrefour,Carrefour,Coop,Grocery / convenience,supermarket,,,,,,,,France,"49.0362872,7.9491994",coordinates_only,49.0362872,7.9491994,node,266706515,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,Groupe Carrefour,Grocery / convenience,supermarket,,,,,,,,France,"48.8396302,2.546142",coordinates_only,48.8396302,2.546142,node,267041268,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,Carrefour,Grocery / convenience,supermarket,,,,,,,,France,"45.6124933,5.2241013",coordinates_only,45.6124933,5.2241013,node,267782709,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,Carrefour,Grocery / convenience,supermarket,,,,,,,,France,"49.9201602,2.3019845",coordinates_only,49.9201602,2.3019845,node,270496758,OpenStreetMap via Overpass API
Carrefour,Carrefour Market,Carrefour Market,Carrefour,Grocery / convenience,supermarket,,,,,,,,France,"44.384953,6.65163",coordinates_only,44.384953,6.65163,node,275031471,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,Carrefour,Grocery / convenience,supermarket,,,,,,33310,,France,33310 France,usable,44.867007,-0.516348,node,280518698,OpenStreetMap via Overpass API
Carrefour,Carrefour Market,Carrefour Market Lambert,Groupe Carrefour,Grocery / convenience,supermarket,,,,Rue Amédée VIII de Savoie,5,74160,Saint-Julien-en-Genevois,France,Rue Amédée VIII de Savoie 5 74160 Saint-Julien-en-Genevois France,strict,46.1444162,6.0801011,node,281692795,OpenStreetMap via Overpass API
Carrefour,Carrefour Market,Carrefour Market,Provencia,Grocery / convenience,supermarket,,,,Avenue de Mössingen,2,74160,Saint-Julien-en-Genevois,France,Avenue de Mössingen 2 74160 Saint-Julien-en-Genevois France,strict,46.1473338,6.0861961,node,281692826,OpenStreetMap via Overpass API
Carrefour,Carrefour Ferney-Voltaire Poterie,Carrefour,Carrefour,Grocery / convenience,supermarket,,,,,,,,France,"46.2544664,6.1199331",coordinates_only,46.2544664,6.1199331,node,286363825,OpenStreetMap via Overpass API
Carrefour,Carrefour Contact,Carrefour Contact,Carrefour Contact,Grocery / convenience,supermarket,,,,,,,,France,"48.9884634,-1.5188169",coordinates_only,48.9884634,-1.5188169,node,290157807,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,,Grocery / convenience,supermarket,,,,,,28000,Chartres,France,28000 Chartres France,usable,48.449421,1.5173615,node,290737905,OpenStreetMap via Overpass API
Carrefour,Carrefour Contact,Carrefour Contact,Shopi,Grocery / convenience,supermarket,,,,Rue de la Libération,60,35720,,France,Rue de la Libération 60 35720 France,usable,48.441906,-1.9150373,node,292243040,OpenStreetMap via Overpass API
Carrefour,Carrefour Market,Carrefour Market,Carrefour Market,Grocery / convenience,supermarket,,,,,,,,France,"48.2671706,1.6314148",coordinates_only,48.2671706,1.6314148,node,293900960,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,Carrefour,Grocery / convenience,supermarket,,,,,,,,France,"44.9023443,1.2118569",coordinates_only,44.9023443,1.2118569,node,297657870,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,Carrefour,Grocery / convenience,supermarket,,,,Route de Provins,85,94490,Ormesson-sur-Marne,France,Route de Provins 85 94490 Ormesson-sur-Marne France,strict,48.7936719,2.5543389,node,297796274,OpenStreetMap via Overpass API
