chain_requested,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3657245,18.1351658",coordinates_only,59.3657245,18.1351658,node,30049148,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,,Healthcare / pharmacy,,pharmacy,,,Skolgatan,1,952 32,Kalix,Sweden,Skolgatan 1 952 32 Kalix Sweden,strict,65.8550504,23.1585635,node,54563232,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.515682,17.6431913",coordinates_only,59.515682,17.6431913,node,151014536,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket,Healthcare / pharmacy,,pharmacy,,,Kvarngatan,21,244 31,Kävlinge,Sweden,Kvarngatan 21 244 31 Kävlinge Sweden,strict,55.7904985,13.1127909,node,269177781,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (publ),Healthcare / pharmacy,,pharmacy,,,Hagagatan,30,,Hemse,Sweden,Hagagatan 30 Hemse Sweden,usable,57.2387942,18.371294,node,272661796,OpenStreetMap via Overpass API
Apotek,Apoteket Hjärtat,,,Healthcare / pharmacy,,pharmacy,,,Magasinsgatan,10,668 30,Ed,Sweden,Magasinsgatan 10 668 30 Ed Sweden,strict,58.9129642,11.9341915,node,278977576,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,brand:wikipedia=sv:Kronans Droghandel,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"61.8006142,16.5572934",coordinates_only,61.8006142,16.5572934,node,279280813,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,Strömpilsplatsen,41,90743,Umeå,Sweden,Strömpilsplatsen 41 90743 Umeå Sweden,strict,63.7977262,20.3033587,node,282929238,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,,Healthcare / pharmacy,,pharmacy,,,Examensvägen,3,907 30,Umeå,Sweden,Examensvägen 3 907 30 Umeå Sweden,strict,63.8126203,20.3150123,node,286876073,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Droghandel Apotek AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"63.7075977,20.3651826",coordinates_only,63.7075977,20.3651826,node,287741752,OpenStreetMap via Overpass API
