export_mode,chain_requested,requested_category,requested_subtype,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apoteket Hjärtat,,,Healthcare / pharmacy,,pharmacy,,,Magasinsgatan,10,668 30,Ed,Sweden,Magasinsgatan 10 668 30 Ed Sweden,strict,58.9129642,11.9341915,node,278977576,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,Strömpilsplatsen,41,90743,Umeå,Sweden,Strömpilsplatsen 41 90743 Umeå Sweden,strict,63.7977262,20.3033587,node,282929238,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,Himnavägen,153,585 65,Linghem,Sweden,Himnavägen 153 585 65 Linghem Sweden,strict,58.4271726,15.7823583,node,314004611,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"55.6425666,13.2062465",coordinates_only,55.6425666,13.2062465,node,331356538,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"60.0341726,13.6958757",coordinates_only,60.0341726,13.6958757,node,346134058,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat,Apotek Hjärtat,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,Västertorg,5,75243,Uppsala,Sweden,Västertorg 5 75243 Uppsala Sweden,strict,59.8407871,17.6018118,node,359391419,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3155416,18.0344536",coordinates_only,59.3155416,18.0344536,node,412884406,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat,Apotek Hjärtat,Apoteket AB (publ),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"58.7098762,13.8224728",coordinates_only,58.7098762,13.8224728,node,441990401,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat AB (556773-8249),Healthcare / pharmacy,,pharmacy,,,Torggatan,20,186 31,Vallentuna,Sweden,Torggatan 20 186 31 Vallentuna Sweden,strict,59.5351135,18.0789217,node,455998823,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat Broby,Apoteket,Apotek Hjärtat,Healthcare / pharmacy,,pharmacy,,,Tydingegatan,1,280 60,Broby,Sweden,Tydingegatan 1 280 60 Broby Sweden,strict,56.2536953,14.077757,node,477083632,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat,Apotek Hjärtat,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.6352578,17.0776441",coordinates_only,59.6352578,17.0776441,node,485107625,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apoteket Hjärtat,Apoteket Hjärtat,Apoteket Hjärtat,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.2556506,18.1778772",coordinates_only,59.2556506,18.1778772,node,490131300,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,Sjödalstorget,5,141 47,Huddinge,Sweden,Sjödalstorget 5 141 47 Huddinge Sweden,strict,59.2360698,17.9820387,node,496103995,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat Sveg,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"62.0335548,14.3645084",coordinates_only,62.0335548,14.3645084,node,499142556,OpenStreetMap via Overpass API
chain,Hjärtat,healthcare_pharmacy,pharmacy,Apotek Hjärtat,Apotek Hjärtat Bydalen,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"62.41422,17.3400396",coordinates_only,62.41422,17.3400396,node,522936039,OpenStreetMap via Overpass API
