export_mode,chain_requested,requested_category,requested_subtype,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3463707,18.0717624",coordinates_only,59.3463707,18.0717624,node,304567324,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.333251,18.0760665",coordinates_only,59.333251,18.0760665,node,369976635,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3407517,18.07623",coordinates_only,59.3407517,18.07623,node,410520820,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.330426,18.0546193",coordinates_only,59.330426,18.0546193,node,410579911,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3327132,18.0450542",coordinates_only,59.3327132,18.0450542,node,429340749,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.331065,18.0305152",coordinates_only,59.331065,18.0305152,node,429340750,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3341806,18.0358569",coordinates_only,59.3341806,18.0358569,node,429340751,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3337345,18.0568474",coordinates_only,59.3337345,18.0568474,node,429340752,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.328467,18.046456",coordinates_only,59.328467,18.046456,node,429340753,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3311027,18.0578593",coordinates_only,59.3311027,18.0578593,node,444823502,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.335925,18.069727",coordinates_only,59.335925,18.069727,node,449884292,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.340127,18.0625929",coordinates_only,59.340127,18.0625929,node,455341429,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3404714,18.058483",coordinates_only,59.3404714,18.058483,node,458709470,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3318095,18.0600111",coordinates_only,59.3318095,18.0600111,node,470495630,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"58.3764454,13.8368108",coordinates_only,58.3764454,13.8368108,node,470637272,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3422659,18.0491505",coordinates_only,59.3422659,18.0491505,node,471131391,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3418234,18.0377875",coordinates_only,59.3418234,18.0377875,node,473470763,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3400099,18.0344374",coordinates_only,59.3400099,18.0344374,node,473470766,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3368087,18.058832",coordinates_only,59.3368087,18.058832,node,473573056,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3352699,18.0678764",coordinates_only,59.3352699,18.0678764,node,475902865,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3458193,18.0621386",coordinates_only,59.3458193,18.0621386,node,498086675,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3413684,18.0304582",coordinates_only,59.3413684,18.0304582,node,503503180,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3437903,18.055379",coordinates_only,59.3437903,18.055379,node,503503224,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3386338,18.056847",coordinates_only,59.3386338,18.056847,node,503503249,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3354434,18.0514632",coordinates_only,59.3354434,18.0514632,node,548881375,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3625156,17.9705899",coordinates_only,59.3625156,17.9705899,node,625082311,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"55.6091022,12.9962489",coordinates_only,55.6091022,12.9962489,node,625987377,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,cafe,,,,,19045,Stockholm-Arlanda,Sweden,19045 Stockholm-Arlanda Sweden,usable,59.6514205,17.9310876,node,662932787,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3128122,18.0828193",coordinates_only,59.3128122,18.0828193,node,675127147,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.2987078,18.0794814",coordinates_only,59.2987078,18.0794814,node,712600430,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3419453,18.0871594",coordinates_only,59.3419453,18.0871594,node,768855595,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"56.0666788,12.7222006",coordinates_only,56.0666788,12.7222006,node,778590266,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"57.6993639,11.9518544",coordinates_only,57.6993639,11.9518544,node,1042342208,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"57.6971209,11.9514077",coordinates_only,57.6971209,11.9514077,node,1042343853,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3364539,18.076209",coordinates_only,59.3364539,18.076209,node,1090529122,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3372595,18.0806891",coordinates_only,59.3372595,18.0806891,node,1090545144,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3379498,18.1014332",coordinates_only,59.3379498,18.1014332,node,1096582620,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3348912,18.0838058",coordinates_only,59.3348912,18.0838058,node,1192859863,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3173013,18.0719017",coordinates_only,59.3173013,18.0719017,node,1246188974,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3136212,18.0739809",coordinates_only,59.3136212,18.0739809,node,1348515076,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3103823,18.0748792",coordinates_only,59.3103823,18.0748792,node,1348515111,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"62.4087585,17.3340698",coordinates_only,62.4087585,17.3340698,node,1386696224,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3388007,18.0679792",coordinates_only,59.3388007,18.0679792,node,1472287953,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"57.699085,11.984139",coordinates_only,57.699085,11.984139,node,1497180953,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3188515,18.0633437",coordinates_only,59.3188515,18.0633437,node,1550839971,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.4184711,17.9384085",coordinates_only,59.4184711,17.9384085,node,1597505762,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"57.7071621,11.9681156",coordinates_only,57.7071621,11.9681156,node,1632019511,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,Östra Hamngatan,46-48,41109,Göteborg,Sweden,Östra Hamngatan 46-48 41109 Göteborg Sweden,strict,57.7053483,11.9691138,node,1632019554,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3245074,18.0697818",coordinates_only,59.3245074,18.0697818,node,1779515460,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.316091,18.03415",coordinates_only,59.316091,18.03415,node,1804364268,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,,,Grocery / convenience,convenience,,,,Gropbrovägen,2,,,Sweden,Gropbrovägen 2 Sweden,usable,58.3666612,12.3227751,node,1834540731,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"59.5848009,17.5049242",coordinates_only,59.5848009,17.5049242,node,1914029253,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"57.6988159,11.9693375",coordinates_only,57.6988159,11.9693375,node,1933610404,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"62.3940036,17.2624824",coordinates_only,62.3940036,17.2624824,node,1938207731,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,Kungsportsplatsen,1,,Göteborg,Sweden,Kungsportsplatsen 1 Göteborg Sweden,usable,57.703825,11.969449,node,2025011591,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,Kungsportsavenyen,34,411 36,Göteborg,Sweden,Kungsportsavenyen 34 411 36 Göteborg Sweden,strict,57.6989671,11.9775251,node,2033520168,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"57.7009653,11.9746481",coordinates_only,57.7009653,11.9746481,node,2033520172,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,Västra Hamngatan,23,411 17,,Sweden,Västra Hamngatan 23 411 17 Sweden,usable,57.7028201,11.9641362,node,2163840979,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"57.6973567,11.9629413",coordinates_only,57.6973567,11.9629413,node,2168910033,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3651151,18.0547205",coordinates_only,59.3651151,18.0547205,node,2222858138,OpenStreetMap via Overpass API
chain,7-eleven,retail_grocery,auto,7-Eleven,7-Eleven,7-Eleven,Grocery / convenience,convenience,,,,,,,,Sweden,"59.3349746,18.0747064",coordinates_only,59.3349746,18.0747064,node,2291422064,OpenStreetMap via Overpass API
