export_mode,chain_requested,requested_category,requested_subtype,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"60.6344679,16.9880804",coordinates_only,60.6344679,16.9880804,node,549636825,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness Alingsås E-lux,,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"57.9246153,12.5382701",coordinates_only,57.9246153,12.5382701,node,726639641,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"55.7916796,13.1240664",coordinates_only,55.7916796,13.1240664,node,897860327,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,Trandögatan,24,50433,Borås,Sweden,Trandögatan 24 50433 Borås Sweden,strict,57.7105444,12.9450512,node,1499685071,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,Högbergsgatan,50,,,Sweden,Högbergsgatan 50 Sweden,usable,59.3159267,18.0669769,node,1547195501,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,Redbergsvägen,2,,,Sweden,Redbergsvägen 2 Sweden,usable,57.7148359,11.9967725,node,1594536114,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"59.3463448,18.0564112",coordinates_only,59.3463448,18.0564112,node,1611096671,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"57.1222925,12.2589409",coordinates_only,57.1222925,12.2589409,node,1704786595,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness Backaplan,,,Fitness / sports,,,,fitness_centre,Gustaf Dalénsgatan,13,417 05,Göteborg,Sweden,Gustaf Dalénsgatan 13 417 05 Göteborg Sweden,strict,57.7245703,11.9459222,node,1814839814,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,Svetsarvägen,9B,,Solna,Sweden,Svetsarvägen 9B Solna Sweden,usable,59.359532,17.979816,node,2140163777,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"57.7053215,11.9646977",coordinates_only,57.7053215,11.9646977,node,2141492120,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"57.6975659,11.9641935",coordinates_only,57.6975659,11.9641935,node,2168909889,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"59.856492,17.6472245",coordinates_only,59.856492,17.6472245,node,2203267393,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,Radarvägen,9L,761 42,Norrtälje,Sweden,Radarvägen 9L 761 42 Norrtälje Sweden,strict,59.7516004,18.6947546,node,2496046552,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"59.352021,18.0689773",coordinates_only,59.352021,18.0689773,node,2500579768,OpenStreetMap via Overpass API
chain,Nordic Wellness,fitness_entertainment,auto,Nordic Wellness,Nordic Wellness,,Fitness / sports,,,,fitness_centre,,,,,Sweden,"57.705734,11.964322",coordinates_only,57.705734,11.964322,node,3192039573,OpenStreetMap via Overpass API
