export_mode,chain_requested,requested_category,requested_subtype,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
chain,Elgiganten,retail_grocery,auto,Elgiganten,Elgiganten,,Electronics retail,electronics,,,,,,,,Sweden,"56.0216182,14.1189112",coordinates_only,56.0216182,14.1189112,node,293964812,OpenStreetMap via Overpass API
chain,Elgiganten,retail_grocery,auto,Elgiganten,Elgiganten,,Electronics retail,electronics,,,,,,,,Sweden,"60.1371499,15.1568443",coordinates_only,60.1371499,15.1568443,node,339340875,OpenStreetMap via Overpass API
chain,Elgiganten,retail_grocery,auto,Elgiganten,Elgiganten,,Electronics retail,electronics,,,,Norra Backagatan,3A,781 70,Borlänge,Sweden,Norra Backagatan 3A 781 70 Borlänge Sweden,strict,60.48053,15.4200859,node,440619110,OpenStreetMap via Overpass API
chain,Elgiganten,retail_grocery,auto,Elgiganten,Elgiganten,,Electronics retail,electronics,,,,,,,,Sweden,"62.4438271,17.3442512",coordinates_only,62.4438271,17.3442512,node,522936045,OpenStreetMap via Overpass API
chain,Elgiganten,retail_grocery,auto,Elgiganten,Elgiganten,,Electronics retail,electronics,,,,,,,,Sweden,"59.3361565,18.0688344",coordinates_only,59.3361565,18.0688344,node,699613480,OpenStreetMap via Overpass API
chain,Elgiganten,retail_grocery,auto,Elgiganten,Elgiganten,,Electronics retail,electronics,,,,August Strindbergs gata,3,761 46,Norrtälje,Sweden,August Strindbergs gata 3 761 46 Norrtälje Sweden,strict,59.746322,18.6800979,node,807717363,OpenStreetMap via Overpass API
chain,Elgiganten,retail_grocery,auto,Elgiganten,Elgiganten,,Electronics retail,electronics,,,,,,,,Sweden,"57.722068,11.955072",coordinates_only,57.722068,11.955072,node,1043077048,OpenStreetMap via Overpass API
chain,Elgiganten,retail_grocery,auto,Elgiganten,Elgiganten,,Electronics retail,electronics,,,,Avtalsvägen,3,22761,Lund,Sweden,Avtalsvägen 3 22761 Lund Sweden,strict,55.7132054,13.1532911,node,1090144266,OpenStreetMap via Overpass API
chain,Elgiganten,retail_grocery,auto,Elgiganten,Elgiganten,,Electronics retail,electronics,,,,Koppargatan,19,602 23,Norrköping,Sweden,Koppargatan 19 602 23 Norrköping Sweden,strict,58.6189627,16.1529733,node,1115968737,OpenStreetMap via Overpass API
chain,Elgiganten,retail_grocery,auto,Elgiganten,Elgiganten,Elgiganten,Electronics retail,electronics,,,,,,,,Sweden,"56.0927219,12.7658475",coordinates_only,56.0927219,12.7658475,node,1313891506,OpenStreetMap via Overpass API
chain,Elgiganten,retail_grocery,auto,Elgiganten,Elgiganten,,Electronics retail,electronics,,,,,,,,Sweden,"63.3082624,18.779602",coordinates_only,63.3082624,18.779602,node,1448961163,OpenStreetMap via Overpass API
chain,Elgiganten,retail_grocery,auto,Elgiganten,Elgiganten,,Electronics retail,electronics,,,,,,,,Sweden,"60.1530887,16.1994861",coordinates_only,60.1530887,16.1994861,node,1459372027,OpenStreetMap via Overpass API
