export_mode,chain_requested,requested_category,requested_subtype,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
chain,Tesla,mobility_fuel,charging,Tesla Arboga Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Burskapsvägen,1,73295,Arboga,Sweden,Burskapsvägen 1 73295 Arboga Sweden,strict,59.426408,15.8273388,node,3013792713,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Löddeköpinge Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"55.766355,12.990464",coordinates_only,55.766355,12.990464,node,3066350013,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Sundsvall Supercharger,"Tesla, Inc.",,Fuel / charging,,charging_station,,,Gillebergsgatan,1,85630,Sundsvall,Sweden,Gillebergsgatan 1 85630 Sundsvall Sweden,strict,62.3984596,17.3390332,node,3363781579,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Krokom Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Krokomsporten,3,83532,Krokom,Sweden,Krokomsporten 3 83532 Krokom Sweden,strict,63.3286859,14.4300095,node,3398654873,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Gävle Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Gävle Brovägen,,80591,Gävle,Sweden,Gävle Brovägen 80591 Gävle Sweden,usable,60.6485144,17.1203642,node,3398657766,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Sillekrog Supercharger,Tesla,,Fuel / charging,,charging_station,,,,,,,Sweden,"58.9181858,17.3679393",coordinates_only,58.9181858,17.3679393,node,3398673874,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Sollentuna Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"59.4964588,17.9243597",coordinates_only,59.4964588,17.9243597,node,3398684555,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Ödeshög Supercharger,Tesla,,Fuel / charging,,charging_station,,,,,,,Sweden,"58.227105,14.668428",coordinates_only,58.227105,14.668428,node,3398687574,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Mora Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Strandgatan,8,79230,Mora,Sweden,Strandgatan 8 79230 Mora Sweden,strict,61.005931,14.543889,node,4269616302,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Umeå Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Marknadsgatan,19,90421,Umeå,Sweden,Marknadsgatan 19 90421 Umeå Sweden,strict,63.810543,20.250353,node,4951103507,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Töcksfors Supercharger,Tesla,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"59.509361,11.822397",coordinates_only,59.509361,11.822397,node,4991262767,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Skellefteå Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Nöppelbergsvägen,1,93176,Skellefteå,Sweden,Nöppelbergsvägen 1 93176 Skellefteå Sweden,strict,64.762316,21.0026491,node,5336801789,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Supercharger,Tesla Supercharger,,Fuel / charging,,charging_station,,,,,,,Sweden,"62.3920706,17.2633909",coordinates_only,62.3920706,17.2633909,node,6290931228,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Norrköping Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"58.6219002,16.154494",coordinates_only,58.6219002,16.154494,node,7151430773,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Kalmar Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"56.6731814,16.3213677",coordinates_only,56.6731814,16.3213677,node,7283204346,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Uppsala Supercharger,Tesla,Tesla,Fuel / charging,,charging_station,,,Fullerö backe,101,,Uppsala,Sweden,Fullerö backe 101 Uppsala Sweden,usable,59.939287,17.656219,node,7441816005,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Kristinehamn Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"59.3147663,14.1474363",coordinates_only,59.3147663,14.1474363,node,8223547457,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Kristianstad Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"56.0248744,14.1169448",coordinates_only,56.0248744,14.1169448,node,8235330011,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla laddstation,,,Fuel / charging,,charging_station,,,,,,,Sweden,"61.8922109,12.8298503",coordinates_only,61.8922109,12.8298503,node,8897021911,OpenStreetMap via Overpass API
