export_mode,chain_requested,requested_category,requested_subtype,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,Allée Serr,30,,,France,Allée Serr 30 France,usable,44.8436976,-0.5582924,node,563901338,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,,,,,France,"43.6016212,3.8526344",coordinates_only,43.6016212,3.8526344,node,645591753,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,Avenue du Grand Cottignies,,59290,Wasquehal,France,Avenue du Grand Cottignies 59290 Wasquehal France,usable,50.6800023,3.1243534,node,897088832,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,,,Fitness / sports,,,,fitness_centre,,60,41100,Vendôme,France,60 41100 Vendôme France,usable,47.7950041,1.0579101,node,927841696,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,,,,,France,"47.233087,-2.154715",coordinates_only,47.233087,-2.154715,node,1407095516,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,,,,,France,"45.7727209,3.0810311",coordinates_only,45.7727209,3.0810311,node,1453606203,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,,,,,France,"49.5696388,3.6440324",coordinates_only,49.5696388,3.6440324,node,1601293316,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,,,,,France,"47.7932625,7.3170879",coordinates_only,47.7932625,7.3170879,node,1634504051,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,Avenue Edouard Herriot,69,,,France,Avenue Edouard Herriot 69 France,usable,44.151032,1.5268726,node,1701140039,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,,,,,France,"47.1904021,5.3914841",coordinates_only,47.1904021,5.3914841,node,1747383100,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,Avenue de Gournier,26,26200,Montélimar,France,Avenue de Gournier 26 26200 Montélimar France,strict,44.5320916,4.7423353,node,1774176329,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,Avenue des Crêtes,1,31520,Ramonville-Saint-Agne,France,Avenue des Crêtes 1 31520 Ramonville-Saint-Agne France,strict,43.5377722,1.4807644,node,2001324136,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,Boulevard de Valmy,43,59650,Villeneuve-d'Ascq,France,Boulevard de Valmy 43 59650 Villeneuve-d'Ascq France,strict,50.6160689,3.1323966,node,2042755917,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,Boulevard de Stalingrad,84,94400,Vitry-sur-Seine,France,Boulevard de Stalingrad 84 94400 Vitry-sur-Seine France,strict,48.7990816,2.3817476,node,2046134309,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,Rue des Courlis,10,,,France,Rue des Courlis 10 France,usable,47.2940667,-2.2103851,node,2109040593,OpenStreetMap via Overpass API
chain,Basic-Fit,fitness_entertainment,auto,Basic-Fit,Basic-Fit,,Fitness / sports,,,,fitness_centre,,,,,France,"48.823382,2.3619048",coordinates_only,48.823382,2.3619048,node,2217523037,OpenStreetMap via Overpass API
