export_mode,chain_requested,requested_category,requested_subtype,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
category,,food_restaurants,fast_food,Jyllinge Center Pizza,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.7501284,12.108663",coordinates_only,55.7501284,12.108663,node,243050023,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Burger King,Burger King,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.4882959,12.162598",coordinates_only,55.4882959,12.162598,node,267833701,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Konya Kebab,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6696025,12.5551472",coordinates_only,55.6696025,12.5551472,node,269264178,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Il Santo Pizzaria,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6503047,12.4900191",coordinates_only,55.6503047,12.4900191,node,269265098,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Havkatten,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6099162,12.4428328",coordinates_only,55.6099162,12.4428328,node,273508613,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Burger King,Burger King,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6764661,12.5695482",coordinates_only,55.6764661,12.5695482,node,276203847,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Non Solo Trattoria,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6862043,12.5343588",coordinates_only,55.6862043,12.5343588,node,279144214,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Burger King,Burger King,Nordic Service Partners,Food & restaurants,,fast_food,,,,,,,Denmark,"57.0493092,9.9222325",coordinates_only,57.0493092,9.9222325,node,280827080,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,McDonald's,McDonald's,,Food & restaurants,,fast_food,,,,,,,Denmark,"57.0488961,9.9215446",coordinates_only,57.0488961,9.9215446,node,280827121,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,McDonald's Taastrup,McDonald's,McDonalds,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6589785,12.2844537",coordinates_only,55.6589785,12.2844537,node,281175696,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Baan Thai Isarn,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6691021,12.5573738",coordinates_only,55.6691021,12.5573738,node,281256948,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Sunset Boulevard Hjørring,Sunset Boulevard,,Food & restaurants,,fast_food,,,,,,,Denmark,"57.4555996,10.0416273",coordinates_only,57.4555996,10.0416273,node,282181386,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Mozart Smørrebrød & Sandwichshop,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6481766,12.5296725",coordinates_only,55.6481766,12.5296725,node,286507262,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Mandalay,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6176675,12.4165806",coordinates_only,55.6176675,12.4165806,node,286609316,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Træfpunktet,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6139793,12.3701738",coordinates_only,55.6139793,12.3701738,node,286616611,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Bilka Quick Food,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6140498,12.3541271",coordinates_only,55.6140498,12.3541271,node,286993815,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Pizza Burger House,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.4884375,12.1815082",coordinates_only,55.4884375,12.1815082,node,289814895,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,McDonald's,McDonald's,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.662055,12.5629528",coordinates_only,55.662055,12.5629528,node,292177709,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Jimmys Køkken,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.4477143,8.4061022",coordinates_only,55.4477143,8.4061022,node,292374725,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Q8 Grillen Ullerup,,,Food & restaurants,,fast_food,,,,,,,Denmark,"54.9685818,9.6628462",coordinates_only,54.9685818,9.6628462,node,292673345,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Fanø Pizza,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.4449542,8.4035641",coordinates_only,55.4449542,8.4035641,node,292994442,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Hong Kong Grill,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6622656,12.4826045",coordinates_only,55.6622656,12.4826045,node,293886420,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Gonzales Pizzeria,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.7174902,12.4880403",coordinates_only,55.7174902,12.4880403,node,294880116,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Kong Kebab,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6266535,12.4861597",coordinates_only,55.6266535,12.4861597,node,295424430,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Da Misto,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6651852,12.5812276",coordinates_only,55.6651852,12.5812276,node,296957928,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Yilmaz Döner Kebab,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.7045926,12.5267938",coordinates_only,55.7045926,12.5267938,node,297925003,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Esperia Pizza,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6515104,12.6206918",coordinates_only,55.6515104,12.6206918,node,297980182,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Bodrum Pizzabar 2,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.585144,12.3187733",coordinates_only,55.585144,12.3187733,node,300388433,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Stoppestedet,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.4207732,8.3780342",coordinates_only,55.4207732,8.3780342,node,300849295,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Doro Pizza,,,Food & restaurants,,fast_food,,,,,,,Denmark,"54.9218225,9.5936421",coordinates_only,54.9218225,9.5936421,node,301222895,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Da Niko,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.7384134,8.1824266",coordinates_only,55.7384134,8.1824266,node,301607291,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Info-Teria Hylkedal Ø,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.4745819,9.427764",coordinates_only,55.4745819,9.427764,node,303994094,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,McDonald's,McDonald's,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6925972,12.4630036",coordinates_only,55.6925972,12.4630036,node,307666493,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Sunset Boulevard,,,Food & restaurants,,fast_food,,,,,,,Denmark,"56.412887,10.0753419",coordinates_only,56.412887,10.0753419,node,308347066,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Pizzapizza-Centrum,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.3975228,10.3888467",coordinates_only,55.3975228,10.3888467,node,310583156,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Bella Italia,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.6807264,12.5490009",coordinates_only,55.6807264,12.5490009,node,312512068,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Kebab Time,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.646556,12.2981909",coordinates_only,55.646556,12.2981909,node,315362035,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,Mario's Pizza,,,Food & restaurants,,fast_food,,,,,,,Denmark,"55.650644,12.3019187",coordinates_only,55.650644,12.3019187,node,315362047,OpenStreetMap via Overpass API
category,,food_restaurants,fast_food,McDonald's,McDonald's,,Food & restaurants,,fast_food,,,,,,,Denmark,"56.2020263,10.2467645",coordinates_only,56.2020263,10.2467645,node,318896131,OpenStreetMap via Overpass API
