export_mode,chain_requested,requested_category,requested_subtype,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
chain,ICA,retail_grocery,auto,ICA nära Karlaplan,ICA Nära,ICA,Grocery / convenience,supermarket,,,,,,,,Sweden,"59.337217,18.0911217",coordinates_only,59.337217,18.0911217,node,29898149,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Kvantum Landvetter,ICA Kvantum,,Grocery / convenience,supermarket,,,,,,,,Sweden,"57.6863361,12.211245",coordinates_only,57.6863361,12.211245,node,30452954,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Nära Vårsta,ICA Nära,,Grocery / convenience,supermarket,,,,Ringvägen,1,14770,Grödinge,Sweden,Ringvägen 1 14770 Grödinge Sweden,strict,59.1646601,17.7961694,node,35514774,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA nära Norrviken,ICA Nära,,Grocery / convenience,supermarket,,,,Stationsallén,2,19270,Sollentuna,Sweden,Stationsallén 2 19270 Sollentuna Sweden,strict,59.4586,17.9231,node,38453442,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Format,ICA Supermarket,,Grocery / convenience,supermarket,,,,Kanalvägen,5B,19461,Upplands Väsby,Sweden,Kanalvägen 5B 19461 Upplands Väsby Sweden,strict,59.4984186,17.9258961,node,49924832,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Atterdags,ICA Supermarket,,Grocery / convenience,supermarket,,,,,,,,Sweden,"57.6335058,18.2896271",coordinates_only,57.6335058,18.2896271,node,54043636,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,Maxi ICA Stormarknad Häggvik,Maxi ICA Stormarknad,,Grocery / convenience,supermarket,,,,Mossvägen,1,19162,Sollentuna,Sweden,Mossvägen 1 19162 Sollentuna Sweden,strict,59.4377882,17.9319525,node,60750116,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Skrapan,ICA Supermarket,,Grocery / convenience,supermarket,,,,Skrapan,114,72210,Västerås,Sweden,Skrapan 114 72210 Västerås Sweden,strict,59.6109313,16.5495677,node,78473316,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Nära Klingsta,ICA Nära,,Grocery / convenience,supermarket,,,,Edsviksvägen,31,18233,Danderyd,Sweden,Edsviksvägen 31 18233 Danderyd Sweden,strict,59.4003431,18.0256737,node,91625237,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Tornet,ICA Nära,ICA,Grocery / convenience,supermarket,,,,Stockholmsvägen,43,18207,Stocksund,Sweden,Stockholmsvägen 43 18207 Stocksund Sweden,strict,59.3847828,18.0577742,node,148580618,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Bro,ICA Supermarket,ICA,Grocery / convenience,supermarket,,,,,,,,Sweden,"59.5159804,17.6428187",coordinates_only,59.5159804,17.6428187,node,151014926,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Robertsfors,ICA Supermarket,,Grocery / convenience,supermarket,,,,Storgatan,30,915 32,,Sweden,Storgatan 30 915 32 Sweden,usable,64.1939751,20.8472776,node,158814547,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Söder,ICA Nära,ICA,Grocery / convenience,supermarket,,,,Södra Kungsgatan,32,80252,Gävle,Sweden,Södra Kungsgatan 32 80252 Gävle Sweden,strict,60.6693883,17.1492785,node,220545714,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Kvantum BEA Livsmedel,ICA Kvantum,,Grocery / convenience,supermarket,,,,Handelsvägen,188,,Enskede,Sweden,Handelsvägen 188 Enskede Sweden,usable,59.2787858,18.0699775,node,223805462,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Nära,ICA Nära,ICA,Grocery / convenience,supermarket,,,,,,,,Sweden,"60.6779379,17.1402705",coordinates_only,60.6779379,17.1402705,node,233798593,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Sigtuna,ICA Supermarket,,Grocery / convenience,supermarket,,,,,,,,Sweden,"59.6170493,17.7232231",coordinates_only,59.6170493,17.7232231,node,247736397,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Köpcenter,ICA Supermarket,,Grocery / convenience,supermarket,,,,,,,,Sweden,"59.0903527,17.5648341",coordinates_only,59.0903527,17.5648341,node,250885849,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Nära Abrahamsberg,ICA Nära,,Grocery / convenience,supermarket,,,,Abrahamsbergsvägen,8,168 30,Bromma,Sweden,Abrahamsbergsvägen 8 168 30 Bromma Sweden,strict,59.3361456,17.9518695,node,254698035,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,Ica Kvantum Sjöbo,ICA Kvantum,,Grocery / convenience,supermarket,,,,,,,,Sweden,"55.6308335,13.7084811",coordinates_only,55.6308335,13.7084811,node,254748753,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Nära Rudboda,ICA Nära,,Grocery / convenience,supermarket,,,,,,,,Sweden,"59.374961,18.1784213",coordinates_only,59.374961,18.1784213,node,254913118,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket,ICA Supermarket,,Grocery / convenience,supermarket,,,,,,,,Sweden,"55.6426594,13.204794",coordinates_only,55.6426594,13.204794,node,255741953,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Åre,ICA Supermarket,ICA,Grocery / convenience,supermarket,,,,Sankt Olavs väg,33,83752,Åre,Sweden,Sankt Olavs väg 33 83752 Åre Sweden,strict,63.3986913,13.0767528,node,256223048,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Ålidhem,ICA Supermarket,,Grocery / convenience,supermarket,,,,,,,,Sweden,"63.8124034,20.3140413",coordinates_only,63.8124034,20.3140413,node,258577544,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,Ica Brunnshallen Simrishamn,ICA Supermarket,,Grocery / convenience,supermarket,,,,,,,,Sweden,"55.5568756,14.3466785",coordinates_only,55.5568756,14.3466785,node,261167336,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Kvantum,ICA Kvantum,,Grocery / convenience,supermarket,,,,,,,,Sweden,"55.7097522,13.2151317",coordinates_only,55.7097522,13.2151317,node,266551919,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Gunnarssons,ICA Supermarket,,Grocery / convenience,supermarket,,,,,,,,Sweden,"55.9140043,13.1093845",coordinates_only,55.9140043,13.1093845,node,266560005,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,Ica Nära Vollsjö,ICA Nära,,Grocery / convenience,supermarket,,,,Torget,8,,,Sweden,Torget 8 Sweden,usable,55.7059365,13.790071,node,268944337,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Hemse,ICA Supermarket,ICA,Grocery / convenience,supermarket,,,,Storgatan,59,62012,Hemse,Sweden,Storgatan 59 62012 Hemse Sweden,strict,57.2401978,18.3767659,node,272661780,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Maxi Brynäs,Maxi ICA Stormarknad,,Grocery / convenience,supermarket,,,,Atlasgatan,40,80286,Gävle,Sweden,Atlasgatan 40 80286 Gävle Sweden,strict,60.6697604,17.1817686,node,277842499,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Skiljebo,ICA Supermarket,,Grocery / convenience,supermarket,,,,,,,,Sweden,"59.6203601,16.5935505",coordinates_only,59.6203601,16.5935505,node,278816379,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,Ica Nära Lövestad,ICA Nära,,Grocery / convenience,supermarket,,,,,,,,Sweden,"55.6534088,13.8899775",coordinates_only,55.6534088,13.8899775,node,279068684,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Nära Bågen,ICA Nära,,Grocery / convenience,supermarket,,,,Järnvägstorget,,90328,Umeå,Sweden,Järnvägstorget 90328 Umeå Sweden,usable,63.8291,20.2665101,node,283304673,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Bergsjön,ICA Supermarket,,Grocery / convenience,supermarket,,,,,,,,Sweden,"57.7565012,12.071777",coordinates_only,57.7565012,12.071777,node,287192419,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Renen,ICA Supermarket,,Grocery / convenience,supermarket,,,,,,,,Sweden,"65.096086,17.1139697",coordinates_only,65.096086,17.1139697,node,287363075,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Majorna,ICA Supermarket,,Grocery / convenience,supermarket,,,,,,,,Sweden,"57.6972771,11.9276093",coordinates_only,57.6972771,11.9276093,node,287450930,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Focus,ICA Kvantum,,Grocery / convenience,supermarket,,,,,,,,Sweden,"57.6984658,11.9929922",coordinates_only,57.6984658,11.9929922,node,287780848,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket Kryddan,ICA Supermarket,,Grocery / convenience,supermarket,,,,Billborgsgatan,,,,Sweden,Billborgsgatan Sweden,usable,59.7596362,18.702529,node,288821232,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Kvantum Götene,ICA Kvantum,,Grocery / convenience,supermarket,,,,Lidköpingsvägen,9,533 21,Götene,Sweden,Lidköpingsvägen 9 533 21 Götene Sweden,strict,58.528898,13.4946231,node,289696324,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,Ica Maxi,Maxi ICA Stormarknad,,Grocery / convenience,supermarket,,,,,,,,Sweden,"56.1644424,13.7807967",coordinates_only,56.1644424,13.7807967,node,291832202,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket,ICA Supermarket,ICA,Grocery / convenience,supermarket,,,,Centrumvägen,17,619 72,Vagnhärad,Sweden,Centrumvägen 17 619 72 Vagnhärad Sweden,strict,58.9455207,17.4877813,node,291933520,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Nära Munkedalshallen,ICA Nära,,Grocery / convenience,supermarket,,,,,,,,Sweden,"58.4664857,11.6745271",coordinates_only,58.4664857,11.6745271,node,295730483,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Nära Söderberga,ICA Nära,,Grocery / convenience,supermarket,,,,,,,,Sweden,"59.3601196,17.8950339",coordinates_only,59.3601196,17.8950339,node,296937724,OpenStreetMap via Overpass API
chain,ICA,retail_grocery,auto,ICA Supermarket,ICA Supermarket,,Grocery / convenience,supermarket,,,,,,,,Sweden,"57.77835,14.1565056",coordinates_only,57.77835,14.1565056,node,302027609,OpenStreetMap via Overpass API
