chain_requested,name,brand,operator,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
REMA 1000,Rema 1000 Knarvik,Rema 1000,,,,,,Norway,"60.5459871,5.2863643",coordinates_only,60.5459871,5.2863643,node,36604250,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Moholt,Rema 1000,,,,,,Norway,"63.409949,10.438926",coordinates_only,63.409949,10.438926,node,148322126,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Berkåk,Rema 1000,,,,,,Norway,"62.828678,10.008779",coordinates_only,62.828678,10.008779,node,190596261,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Stavset,Rema 1000,,,,,,Norway,"63.387395,10.330293",coordinates_only,63.387395,10.330293,node,193629076,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Drotningsvik,Rema 1000,,,,,,Norway,"60.371971,5.180103",coordinates_only,60.371971,5.180103,node,197492272,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Ranheim,Rema 1000,,,,,,Norway,"63.421105,10.534483",coordinates_only,63.421105,10.534483,node,211168452,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Kanalen,Rema 1000,,,,,,Norway,"59.434437,10.652014",coordinates_only,59.434437,10.652014,node,213581529,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Mosseskogen,Rema 1000,,,,,,Norway,"59.4455461,10.683634",coordinates_only,59.4455461,10.683634,node,215091463,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Bromstad,Rema 1000,,,,,,Norway,"63.430991,10.450936",coordinates_only,63.430991,10.450936,node,226059674,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Jørpeland,Rema 1000,,,,,,Norway,"59.0171247,6.0381738",coordinates_only,59.0171247,6.0381738,node,243081589,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Byåsen,Rema 1000,,,,,,Norway,"63.418045,10.352454",coordinates_only,63.418045,10.352454,node,245395441,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Ladetorget,Rema 1000,,,,,,Norway,"63.4477148,10.4451606",coordinates_only,63.4477148,10.4451606,node,246875581,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Jessheim,Rema 1000,,,,,,Norway,"60.1425718,11.1740993",coordinates_only,60.1425718,11.1740993,node,251710249,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Godvik,Rema 1000,,,,,,Norway,"60.370045,5.192887",coordinates_only,60.370045,5.192887,node,258171008,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Kleppestø,Rema 1000,,,,,,Norway,"60.406272,5.219544",coordinates_only,60.406272,5.219544,node,259723046,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Mellombølgen,Rema 1000,NORD DAGLIGVARE AS,,,,,Norway,"59.866218,10.82203",coordinates_only,59.866218,10.82203,node,261734292,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Sandstuveien,Rema 1000,,,,,,Norway,"59.8876992,10.805681",coordinates_only,59.8876992,10.805681,node,264768991,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Sæterkrysset,Rema 1000,,,,,,Norway,"59.860465,10.801512",coordinates_only,59.860465,10.801512,node,266563150,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Askøy,Rema 1000,,,,,,Norway,"60.428036,5.192585",coordinates_only,60.428036,5.192585,node,281805244,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Danmarksplass,Rema 1000,,,,,,Norway,"60.376399,5.339928",coordinates_only,60.376399,5.339928,node,282763146,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Nyrud,Rema 1000,,,,,,Norway,"65.83398,13.211943",coordinates_only,65.83398,13.211943,node,283597920,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Haukelandsveien,Rema 1000,,,,,,Norway,"60.377162,5.358722",coordinates_only,60.377162,5.358722,node,287159656,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Eidsvåg,Rema 1000,,,,,,Norway,"60.438223,5.322826",coordinates_only,60.438223,5.322826,node,287469597,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Kjerreidviken,Rema 1000,,,,,,Norway,"60.341371,5.246888",coordinates_only,60.341371,5.246888,node,289518556,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Myrholtet,Rema 1000,,,,,,Norway,"60.345741,5.271583",coordinates_only,60.345741,5.271583,node,289525263,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Wergeland,Rema 1000,,,,,,Norway,"60.360226,5.352041",coordinates_only,60.360226,5.352041,node,289529136,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Frekhaug,Rema 1000,,,,,,Norway,"60.5181894,5.2414685",coordinates_only,60.5181894,5.2414685,node,290377809,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Nattland,Rema 1000,,,,,,Norway,"60.351094,5.369186",coordinates_only,60.351094,5.369186,node,299612922,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Moan,Rema 1000,,,,,,Norway,"63.733504,11.28383",coordinates_only,63.733504,11.28383,node,306935384,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Svelvik,Rema 1000,,,,,,Norway,"59.617581,10.408093",coordinates_only,59.617581,10.408093,node,323126223,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Spydeberg,Rema 1000,,,,,,Norway,"59.6155481,11.0764775",coordinates_only,59.6155481,11.0764775,node,329724142,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Jordal,Rema 1000,,,,,,Norway,"59.9082608,10.7790482",coordinates_only,59.9082608,10.7790482,node,347483777,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Dikeveien,Rema 1000,,,,,,Norway,"59.2515,10.996471",coordinates_only,59.2515,10.996471,node,356303843,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Gystadparken,Rema 1000,,,,,,Norway,"60.143413,11.19107",coordinates_only,60.143413,11.19107,node,364548431,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Hellerud,Rema 1000,,,,,,Norway,"59.916476,10.848495",coordinates_only,59.916476,10.848495,node,365154970,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Borgheim,Rema 1000,,,,,,Norway,"59.225832,10.408142",coordinates_only,59.225832,10.408142,node,365558109,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Byterminalen,Rema 1000,,,,,,Norway,"58.966684,5.733824",coordinates_only,58.966684,5.733824,node,373669398,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Fjøsanger,Rema 1000,,,,,,Norway,"60.34751,5.335561",coordinates_only,60.34751,5.335561,node,391254962,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Spikkestad,Rema 1000,,,,,,Norway,"59.743793,10.339167",coordinates_only,59.743793,10.339167,node,409169166,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Herøya,Rema 1000,,,,,,Norway,"59.11466,9.645884",coordinates_only,59.11466,9.645884,node,428918895,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Tvedestrand,Rema 1000,,,,,,Norway,"58.627278,8.920585",coordinates_only,58.627278,8.920585,node,435770556,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Basarene Hamar,Rema 1000,,,,,,Norway,"60.794311,11.066783",coordinates_only,60.794311,11.066783,node,441005248,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Olrud City Hamar,Rema 1000,,,,,,Norway,"60.830319,11.065997",coordinates_only,60.830319,11.065997,node,441009942,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Storhamar,Rema 1000,,,,,,Norway,"60.801719,11.03518",coordinates_only,60.801719,11.03518,node,441010598,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Grimstad,Rema 1000,,,,,,Norway,"58.336024,8.590781",coordinates_only,58.336024,8.590781,node,441292595,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Ila,Rema 1000,,,,,,Norway,"59.925626,10.745457",coordinates_only,59.925626,10.745457,node,441346633,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Strandvegen,Rema 1000,,,,,,Norway,"69.635532,18.934726",coordinates_only,69.635532,18.934726,node,443840679,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Sellebakk,Rema 1000,,,,,,Norway,"59.2243,10.989181",coordinates_only,59.2243,10.989181,node,445595252,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Vestnes sør,Rema 1000,,,,,,Norway,"58.029186,7.446291",coordinates_only,58.029186,7.446291,node,447222389,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Husnes,Rema 1000,,,,,,Norway,"59.8632691,5.7586137",coordinates_only,59.8632691,5.7586137,node,448170643,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Oseberg,Rema 1000,,,,,,Norway,"59.263449,10.414254",coordinates_only,59.263449,10.414254,node,461709499,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Nesbru,Rema 1000,,,,,,Norway,"59.8625242,10.4881042",coordinates_only,59.8625242,10.4881042,node,470665039,OpenStreetMap via Overpass API
REMA 1000,Rema 1000 Sentrumsgården,Rema 1000,,,,,,Norway,"67.283568,14.376469",coordinates_only,67.283568,14.376469,node,471563873,OpenStreetMap via Overpass API
