chain_requested,name,brand,operator,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
MAX,Maxi ICA Stormarknad Häggvik,Maxi ICA Stormarknad,,Mossvägen,1,19162,Sollentuna,Sweden,Mossvägen 1 19162 Sollentuna Sweden,strict,59.4377882,17.9319525,node,60750116,OpenStreetMap via Overpass API
MAX,ICA Maxi Brynäs,Maxi ICA Stormarknad,,Atlasgatan,40,80286,Gävle,Sweden,Atlasgatan 40 80286 Gävle Sweden,strict,60.6697604,17.1817686,node,277842499,OpenStreetMap via Overpass API
MAX,Ica Maxi,Maxi ICA Stormarknad,,,,,,Sweden,"56.1644424,13.7807967",coordinates_only,56.1644424,13.7807967,node,291832202,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Kristianstad,Maxi ICA Stormarknad,ICA,Sjöcronas Gata,7,291 53,Kristianstad,Sweden,Sjöcronas Gata 7 291 53 Kristianstad Sweden,strict,56.0253211,14.1691196,node,320349384,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Göteborg,Maxi ICA Stormarknad,,Grafiska Vägen,16,41263,Göteborg,Sweden,Grafiska Vägen 16 41263 Göteborg Sweden,strict,57.6802124,12.005165,node,331322016,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Stenhagen Uppsala,Maxi ICA Stormarknad,ICA,,,,,Sweden,"59.8488507,17.5599509",coordinates_only,59.8488507,17.5599509,node,412064914,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Lindhagen,Maxi ICA Stormarknad,ICA,,,,,Sweden,"59.337221,18.0098203",coordinates_only,59.337221,18.0098203,node,468043008,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Sundsvall,Maxi ICA Stormarknad,ICA,Antennvägen,11,,,Sweden,Antennvägen 11 Sweden,usable,62.442646,17.3481855,node,524700960,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Angered,Maxi ICA Stormarknad,ICA,,,,,Sweden,"57.7952231,12.0496839",coordinates_only,57.7952231,12.0496839,node,593971770,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Haparanda,Maxi ICA Stormarknad,,Hästskovägen,2,95336,Haparanda,Sweden,Hästskovägen 2 95336 Haparanda Sweden,strict,65.8422409,24.1189337,node,598605171,OpenStreetMap via Overpass API
MAX,ICA Maxi Hälla,Maxi ICA Stormarknad,,,,,Västerås,Sweden,Västerås Sweden,usable,59.6094409,16.620288,node,626011218,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Köping,Maxi ICA Stormarknad,,,,,,Sweden,"59.5223022,15.9741936",coordinates_only,59.5223022,15.9741936,node,635807861,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Växjö,Maxi ICA Stormarknad,ICA,Hejaregatan,30,352 46,Växjö,Sweden,Hejaregatan 30 352 46 Växjö Sweden,strict,56.8836334,14.7668629,node,739953649,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad,Maxi ICA Stormarknad,ICA,,,,,Sweden,"59.3763263,13.4288818",coordinates_only,59.3763263,13.4288818,node,858084869,OpenStreetMap via Overpass API
MAX,ICA Maxi Gunnesbo,Maxi ICA Stormarknad,,Traktorvägen,1-3,226 60,Lund,Sweden,Traktorvägen 1-3 226 60 Lund Sweden,strict,55.7168824,13.1643471,node,858991927,OpenStreetMap via Overpass API
MAX,Ica Maxi,Maxi ICA Stormarknad,Ica,Dragaregatan,2,26575,Hyllinge,Sweden,Dragaregatan 2 26575 Hyllinge Sweden,strict,56.1009367,12.8594644,node,907186988,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Karlshamn,Maxi ICA Stormarknad,,Korpadalsvägen,3,374 51,Asarum,Sweden,Korpadalsvägen 3 374 51 Asarum Sweden,strict,56.1957711,14.8441086,node,913797174,OpenStreetMap via Overpass API
MAX,ICA Maxi Stormarknad Motala,Maxi ICA Stormarknad,,Hökartorget,,591 53,Motala,Sweden,Hökartorget 591 53 Motala Sweden,usable,58.5573477,15.0341495,node,1369951836,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Råå,Maxi ICA Stormarknad,ICA,Landskronavägen,33,252 32,Helsingborg,Sweden,Landskronavägen 33 252 32 Helsingborg Sweden,strict,56.0022875,12.7452179,node,1540013938,OpenStreetMap via Overpass API
MAX,ICA Maxi Torslanda,Maxi ICA Stormarknad,ICA,Gamla Flygplatsvägen,60,,,Sweden,Gamla Flygplatsvägen 60 Sweden,usable,57.7097178,11.7722174,node,1646441154,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Örebro Boglundsängen,Maxi ICA Stormarknad,,Boglundsgatan,2,703 74,Örebro,Sweden,Boglundsgatan 2 703 74 Örebro Sweden,strict,59.2964063,15.2059136,node,1673665726,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Västra Hamnen,Maxi ICA Stormarknad,,Masttorget,12,211 77,Malmö,Sweden,Masttorget 12 211 77 Malmö Sweden,strict,55.611825,12.9801942,node,1745595579,OpenStreetMap via Overpass API
MAX,Maxi ICA,Maxi ICA Stormarknad,,,,,,Sweden,"58.3537245,11.8084943",coordinates_only,58.3537245,11.8084943,node,1760248014,OpenStreetMap via Overpass API
MAX,ICA Maxi Nynäshamn,Maxi ICA Stormarknad,ICA,Telivägen,2,14941,Nynäshamn,Sweden,Telivägen 2 14941 Nynäshamn Sweden,strict,58.9128704,17.9560601,node,1832548230,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Kumla,Maxi ICA Stormarknad,,Köpmangatan,18,692 30,Kumla,Sweden,Köpmangatan 18 692 30 Kumla Sweden,strict,59.1262454,15.1417504,node,1924797820,OpenStreetMap via Overpass API
MAX,ICA,Maxi ICA Stormarknad,,,,,,Sweden,"55.7587436,13.0081224",coordinates_only,55.7587436,13.0081224,node,1963450961,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Härnösand,Maxi ICA Stormarknad,,,,,,Sweden,"62.6368792,17.9287888",coordinates_only,62.6368792,17.9287888,node,1971923527,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Trollhättan,Maxi ICA Stormarknad,,,,,,Sweden,"58.3131599,12.3037266",coordinates_only,58.3131599,12.3037266,node,1979955115,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Umeå,Maxi ICA Stormarknad,,,,,,Sweden,"63.797566,20.302819",coordinates_only,63.797566,20.302819,node,2354169189,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Alingsås,Maxi ICA Stormarknad,,,,,,Sweden,"57.9244128,12.5449399",coordinates_only,57.9244128,12.5449399,node,2843036385,OpenStreetMap via Overpass API
